A,B,confidence
[175],"[897, 730, 1141, 4118]",0.12629399585921325 0.15942028985507248 0.14699792960662525 0.14492753623188406
[184],"[850, 3451]",0.12609170305676856 0.10480349344978165
[364],[910],0.19495412844036697
[482],"[1058, 2851, 869, 806, 485, 2218, 911, 1977, 954, 2845]",0.11383285302593658 0.1304034582132565 0.111671469740634 0.1361671469740634 0.17579250720461093 0.16498559077809796 0.13112391930835735 0.11743515850144093 0.14121037463976946 0.1095100864553314
"[482, 869]",[2218],0.39873417721518983
"[482, 911]",[722],0.3846153846153846
"[482, 1058]",[2218],0.45918367346938777
"[482, 2413]",[2414],0.45454545454545453
"[482, 2414]",[2413],0.45454545454545453
[485],"[482, 1058, 2851, 869, 806, 2218, 911, 3217, 1977, 730, 1086]",0.14554670528602462 0.1332367849384504 0.1049963794351919 0.1781317885590152 0.10789283128167995 0.11730629978276612 0.11151339608979001 0.165821868211441 0.11223750905141201 0.14337436640115858 0.1216509775524982
"[485, 911]",[722],0.3641304347826087
"[485, 1086]",[2218],0.40268456375838924
[521],"[1443, 1190, 648, 1266, 1563]",0.1822742474916388 0.19063545150501673 0.18561872909698998 0.1939799331103679 0.13377926421404682
[524],"[1190, 584, 648, 1266, 660, 1462, 2840, 1018]",0.1141025641025641 0.11923076923076924 0.11025641025641027 0.3153846153846154 0.12307692307692308 0.1576923076923077 0.1141025641025641 0.12564102564102567
[543],"[584, 2452, 1462, 1018, 2812, 830]",0.16400709219858156 0.15070921985815602 0.12588652482269502 0.10549645390070922 0.13829787234042554 0.16533687943262412
[562],[2795],0.16237113402061856
[566],"[184, 850]",0.16458852867830426 0.16708229426433915
[584],"[3906, 4817, 850, 817, 2452, 1462, 1463, 1018, 2812, 830, 543]",0.39409368635437886 0.14613034623217924 0.14409368635437883 0.2510183299389002 0.18584521384928718 0.10947046843177191 0.17515274949083504 0.15580448065173116 0.12118126272912425 0.11863543788187374 0.16802443991853364 0.12780040733197556 0.10947046843177191 0.10183299389002037 0.11354378818737272 0.10183299389002037
"[543, 584]","[2452, 1462, 1018, 2812, 830]",0.3025210084033613 0.2857142857142857 0.5336134453781513 0.36554621848739494 0.4327731092436975 0.26890756302521013 0.273109243697479
"[584, 648]",[1462],0.481203007518797
"[584, 660]","[1018, 2812, 1462]",0.5833333333333333 0.3499999999999999 0.47777777777777775
"[584, 817]","[850, 1462, 1463, 1018, 2812]",0.2875816993464052 0.2549019607843137 0.3300653594771242 0.22875816993464052 0.5032679738562091 0.20588235294117646
"[584, 817, 1462]",[2812],0.40909090909090906
"[584, 817, 2812]",[1462],0.6237623762376237
"[584, 830]","[3906, 2452, 1462, 1018, 2812, 543]",0.30901287553648066 0.3004291845493562 0.6180257510729613 0.2618025751072961 0.5965665236051502 0.575107296137339 0.3905579399141631 0.3605150214592275 0.4206008583690987 0.2789699570815451
"[584, 830, 1018, 1462]",[2812],0.7738095238095238
"[584, 830, 1462]","[1018, 2812]",0.6546762589928058 0.60431654676259 0.4676258992805756
"[584, 830, 1462, 2812]",[1018],0.7142857142857143
"[584, 850]","[3906, 817, 1462, 1018, 3451, 2812]",0.26855123674911663 0.31095406360424027 0.21908127208480563 0.4911660777385159 0.24381625441696111 0.3144876325088339
"[584, 861]",[1462],0.6407766990291263
"[584, 1018]","[3906, 4817, 850, 817, 2452, 660, 1462, 1463, 2812, 830, 543]",0.20821917808219179 0.17260273972602738 0.2547945205479452 0.589041095890411 0.6109589041095891 0.17260273972602738 0.2602739726027397 0.1917808219178082 0.3671232876712329 0.23835616438356164 0.21643835616438356 0.1753424657534247 0.23013698630136986 0.2027397260273973 0.16712328767123288 0.3726027397260274 0.2684931506849315 0.1753424657534247 0.1863013698630137 0.17808219178082194
"[543, 584, 1018]",[1462],0.7356321839080461
"[584, 830, 1018]","[2812, 1462]",0.6268656716417911 0.7313432835820896 0.48507462686567165
"[584, 1018, 1462]","[3906, 2452, 2812, 830, 543]",0.29767441860465116 0.39069767441860465 0.34418604651162793 0.6325581395348837 0.29767441860465116 0.3023255813953488
"[584, 1018, 2452]","[2812, 1462]",0.6881720430107527 0.7311827956989247
"[584, 1018, 2812]","[830, 3906, 2452, 1462]",0.273542600896861 0.6098654708520179 0.4394618834080718 0.30493273542600896 0.2914798206278027
"[584, 830, 1018, 2812]",[1462],0.6632653061224489
"[584, 1018, 1462, 2812]",[830],0.47794117647058826
"[584, 1190]",[1462],0.47260273972602734
"[584, 1266]",[1462],0.5474452554744526
"[584, 1403]",[1462],0.5701754385964913
"[584, 1462]","[3906, 4817, 850, 817, 660, 2452, 1463, 1018, 3451, 2812, 830, 543]",0.13565891472868216 0.3242894056847545 0.1731266149870801 0.1640826873385013 0.10981912144702842 0.2777777777777778 0.25839793281653745 0.17958656330749354 0.25839793281653745 0.17958656330749354 0.19896640826873385 0.19509043927648578 0.11757105943152456 0.10852713178294573 0.10335917312661498 0.17571059431524547
"[543, 584, 1462]","[1018, 2812]",0.5039370078740159 0.5118110236220473
"[584, 1462, 1463]","[3906, 2812]",0.35 0.35
"[584, 1463]","[3906, 817, 2452, 1462, 1018, 2812]",0.3226744186046512 0.22674418604651161 0.18895348837209305 0.5813953488372093 0.27906976744186046 0.22965116279069767 0.20348837209302326 0.20348837209302326
"[584, 2452]","[3906, 1462, 1463, 1018, 2812, 830, 543]",0.23693379790940766 0.3240418118466899 0.24390243902439024 0.22648083623693382 0.4459930313588851 0.2787456445993031 0.5261324041811847 0.2787456445993031 0.22299651567944254 0.23693379790940766
"[584, 1462, 2452]","[1018, 2812]",0.5298013245033112 0.42384105960264906
"[584, 2452, 2812]","[1018, 1462]",0.6249999999999999 0.53125
"[584, 2812]","[3906, 817, 850, 4817, 660, 2452, 1462, 1463, 1018, 830, 543]",0.22515212981744423 0.5091277890466531 0.2920892494929006 0.20892494929006084 0.45233265720081134 0.1744421906693712 0.20486815415821502 0.2596348884381339 0.18052738336713994 0.20892494929006084 0.13387423935091278 0.127789046653144 0.1845841784989858 0.14198782961460446 0.16227180527383367 0.12373225152129817 0.13184584178498987 0.1460446247464503 0.27586206896551724 0.19878296146044627 0.13793103448275862 0.13184584178498987
"[543, 584, 2812]",[1462],0.6310679611650486
"[584, 830, 2812]","[1018, 1462]",0.6319444444444445 0.6805555555555557 0.45138888888888895
"[584, 1462, 2812]","[3906, 817, 2452, 1463, 1018, 830, 543]",0.250996015936255 0.36254980079681276 0.2788844621513944 0.3187250996015936 0.2589641434262948 0.28685258964143423 0.5418326693227091 0.2589641434262948
"[584, 1463, 2812]",[1462],0.6306306306306306
"[584, 3451]","[850, 1462]",0.38036809815950917 0.5214723926380368
"[584, 3905]",[1462],0.6330275229357798
"[584, 3906]","[4817, 850, 2452, 1462, 1463, 1018, 2812, 830]",0.18484848484848485 0.3121212121212121 0.6060606060606061 0.20909090909090908 0.2909090909090909 0.28787878787878785 0.2424242424242424 0.32727272727272727 0.2121212121212121 0.22727272727272727 0.22424242424242424 0.18484848484848485 0.21818181818181814
"[584, 1018, 3906]","[2812, 1462]",0.7789473684210527 0.6421052631578947
"[584, 1462, 3906]","[4817, 1018, 2812, 1463]",0.35 0.375 0.37 0.35999999999999993
"[584, 1463, 3906]",[1462],0.7291666666666666
"[584, 2812, 3906]","[1018, 1462]",0.5922330097087378 0.6990291262135921
"[584, 4817]","[1018, 2812, 3906, 1462]",0.29302325581395344 0.6232558139534884 0.5023255813953489 0.30697674418604654 0.3488372093023256
"[584, 1462, 4817]",[3906],0.5597014925373134
"[584, 3906, 4817]",[1462],0.6944444444444444
[599],[817],0.19003115264797507
[600],"[648, 909, 1190]",0.18854415274463004 0.11336515513126491 0.19689737470167065
[621],[897],0.17127071823204418
[648],"[1190, 909, 3214, 660, 1462]",0.15866957470010906 0.13249727371864778 0.10087241003271538 0.26608505997818976 0.1068702290076336
"[648, 660]","[1462, 1190]",0.24054982817869416 0.20618556701030927
"[648, 909]",[1190],0.5020576131687242
"[648, 951]",[1190],0.5609756097560976
"[648, 1190]","[909, 3214, 660, 1462, 951]",0.15163934426229508 0.125 0.1413934426229508 0.14344262295081966 0.25
"[648, 1462]","[584, 660, 1190]",0.3297297297297297 0.32432432432432434 0.34594594594594597
"[648, 3214]",[1190],0.37755102040816324
[651],"[2812, 1463]",0.3361702127659575 0.28085106382978725
[654],"[584, 1462]",0.3272727272727272 0.34545454545454546
[659],[660],0.4730538922155688
[660],"[648, 584, 1462, 1018, 2812, 830, 543]",0.1732142857142857 0.1619047619047619 0.1494047619047619 0.17083333333333334 0.17261904761904764 0.10714285714285715 0.12321428571428572
"[543, 660]","[830, 1018, 1462]",0.31884057971014496 0.3285024154589372 0.3285024154589372
"[660, 830]","[2452, 1462, 1018, 2812, 543]",0.44852941176470584 0.22426470588235292 0.38602941176470584 0.25 0.3345588235294118 0.24632352941176472
"[660, 830, 2812]",[1018],0.6380952380952382
"[660, 1190]",[648],0.5147058823529411
"[660, 1462]","[584, 648, 817, 2452, 1018, 2812, 830, 543]",0.36585365853658536 0.3693379790940766 0.23693379790940766 0.20905923344947736 0.2508710801393728 0.2160278745644599 0.29965156794425085 0.3170731707317073
"[660, 2812]","[584, 2452, 1462, 1018, 830]",0.5179282868525896 0.2589641434262948 0.4183266932270916 0.3426294820717131 0.3426294820717131 0.26693227091633465
[668],"[897, 1130, 780, 730]",0.1000654022236756 0.11510791366906474 0.12426422498364943 0.11772400261608895
"[668, 780]",[823],0.34090909090909094
"[668, 823]",[780],0.46874999999999994
[705],"[1569, 728, 725, 726, 1141, 824, 1721, 730, 3647]",0.10119047619047619 0.10595238095238095 0.13452380952380952 0.10119047619047619 0.14166666666666666 0.13690476190476192 0.15 0.11190476190476191 0.12261904761904763
[722],"[806, 2218, 1067, 911, 1721, 730]",0.12440516655336507 0.1726716519374575 0.11624745071380015 0.10605030591434399 0.3840924541128484 0.11624745071380015
"[482, 722]",[911],0.5384615384615384
"[485, 722]",[911],0.48905109489051096
"[722, 726]",[911],0.5616438356164384
"[722, 806]",[911],0.5901639344262295
"[722, 869]",[911],0.5303030303030303
"[722, 910]",[911],0.5547445255474452
