A,B,lift
"[1537, 1764]","[1135, 1514]",59.12754047305823
"[1135, 1514]","[1537, 1764]",59.12754047305823
[1925],[1917],58.80870154513418
[1917],[1925],58.80870154513418
[2419],[1812],57.64327300785634
[1812],[2419],57.64327300785634
"[584, 830]","[1462, 2812]",54.049157519085696
"[1462, 2812]","[584, 1018]",52.48418056543849
"[584, 1018]","[1462, 2812]",52.48418056543849
"[584, 4817]","[1462, 3906]",50.83119413602202
"[738, 4059]",[2753],49.20097015614894
[3373],[3360],48.744967191601056
[3360],[3373],48.744967191601056
"[1462, 4817]","[584, 3906]",47.146442914515205
"[584, 3906]","[1462, 4817]",47.146442914515205
"[1003, 3324]","[1135, 1764]",44.44962812711291
"[1018, 3906]","[1462, 2812]",43.88462715211526
"[830, 2452]","[543, 1018]",43.012698884758365
"[2414, 2845]",[2413],42.40999497319035
"[911, 2414]",[2413],42.09776984682639
"[1977, 2414]",[2413],41.55879082378747
"[2413, 2845]",[2414],41.026851131427094
"[584, 830]","[1018, 1462]",40.86767067530065
"[2812, 3906]","[1018, 1462]",40.35253196930946
[3214],"[648, 1190]",39.930150631681244
"[584, 2452]","[1462, 2812]",39.33111534280357
[4001],[3821],39.25979171218411
[3821],[4001],39.25979171218411
"[1977, 2413]",[2414],38.848486358717324
"[830, 1462]","[584, 1018]",38.28749714000458
"[584, 1018]","[830, 1462]",38.28749714000458
"[1135, 1537]","[1514, 1764]",37.92956848967079
"[584, 3906]","[1462, 1463]",37.76854010045632
"[543, 2812]","[830, 1462]",37.58504042258512
"[911, 2413]",[2414],37.156922589980105
"[830, 2452]","[1462, 2812]",36.840156591606885
"[1463, 3906]","[584, 1462]",36.78641374293549
"[830, 1462]","[543, 1018]",36.13245801526717
"[543, 1018]","[830, 1462]",36.13245801526717
"[2452, 2812]","[584, 1018]",35.930303846397564
"[2753, 2851]",[4059],35.63815946397207
"[738, 2851]",[2753],35.434103715802365
"[1190, 3214]",[648],35.13006583447332
"[2452, 2812]","[830, 1462]",34.52579294632819
"[1018, 2452]","[830, 1462]",34.439979045053136
[2856],[2840],33.831497399093166
[2840],[2856],33.831497399093166
"[1135, 3324]","[1003, 1764]",33.73898106554606
"[2851, 4059]",[2753],33.690872751499
"[584, 830]","[1018, 2812]",33.67984735218777
"[864, 911]",[722],33.597612509534706
[2844],[1268],33.2661593831635
"[1018, 2452]","[1462, 2812]",32.841763456975144
[3372],[1489],32.82533234269645
[1489],[3372],32.82533234269645
"[830, 2452]","[1018, 1462]",32.727053499272664
"[1018, 1462]","[584, 2812]",31.87442424242424
"[584, 2812]","[1018, 1462]",31.87442424242424
"[1463, 2812]","[584, 1462]",31.784240022335265
[3214],[648],31.490665363367572
[2414],[2413],30.88905779276416
[2413],[2414],30.88905779276416
"[830, 1462]","[584, 2812]",30.75246613719896
[864],"[722, 911]",30.610784477246824
"[584, 3906]","[1462, 2812]",30.26981812600721
"[2753, 2851]",[738],30.08199062647328
"[2812, 3906]","[584, 1462]",29.861912332500566
"[738, 2753]",[4059],29.699608468677493
"[584, 1463]","[1462, 3906]",29.66862013164936
"[584, 1018]","[1462, 3906]",29.65476168705692
"[584, 1462, 3906]",[4817],29.41870525059666
"[2753, 4059]",[738],29.370351780966985
"[2452, 2812]","[1018, 1462]",29.247765419615778
"[1003, 1764, 3324]",[1135],28.94909028741944
"[543, 1018]","[830, 2812]",28.887806138933765
"[543, 1018]","[1462, 2812]",28.659912243453647
"[584, 1463]","[1462, 2812]",28.559083928363833
"[584, 1018]","[830, 2812]",28.35996355200662
"[830, 2452]","[1018, 2812]",27.921745841820194
[651],[1463],27.888516579406634
"[543, 2812]","[1018, 1462]",27.859422124380846
"[1018, 3906]","[584, 1462]",27.34081929715117
[2832],[2413],27.306234187969643
"[875, 1514]","[1537, 4771]",27.22008827008827
"[830, 1462]","[1018, 2812]",27.126469981431814
"[543, 2812]","[830, 1018]",27.066576788943426
"[1462, 3906]",[4817],27.027475666469115
"[1003, 3324]",[1135],26.941686241191466
"[875, 4771]","[1514, 1537]",26.874044292709222
"[584, 1462, 4817]",[3906],26.79543824181557
[1427],[940],26.59566664898132
[940],[1427],26.59566664898132
"[1018, 2452]","[830, 2812]",26.409306886214612
"[2218, 4059]",[2851],26.055419147784395
"[1462, 1463, 3906]",[584],25.98297113109858
[4059],[2753],25.968940350671094
[2753],[4059],25.968940350671094
"[1003, 1135]","[1764, 3324]",25.92406936609264
"[722, 864]",[911],25.88867272449423
"[1462, 1463, 2812]",[584],25.832291949150203
"[584, 3906]",[4817],25.756135520602697
[2832],[2845],25.72026604068858
"[1018, 3906]",[4817],25.693192358599703
[2753],[738],25.681042707433427
[738],[2753],25.681042707433427
"[584, 3906]","[1018, 1462]",25.483677317967523
"[584, 1018, 2452]",[2812],25.06841116330478
"[660, 1018]","[830, 2812]",24.9257030760608
"[1135, 1764, 3324]",[1003],24.92455262359721
"[584, 830, 1018]",[2812],24.791218855218855
"[543, 830]","[1018, 1462]",24.761780981167167
[659],[660],24.650554947769624
"[584, 4817]",[3906],24.406487035125902
"[1018, 1462]","[830, 2812]",24.381012853831567
"[830, 2812]","[1018, 1462]",24.381012853831567
"[1537, 3324]","[1514, 4771]",24.246119209089308
"[2218, 2851]",[4059],24.053016241299304
[2926],[2909],24.022498890715944
[2909],[2926],24.022498890715944
"[806, 911]",[722],23.88914860392257
"[954, 2218]",[2851],23.829360341151386
"[1462, 4817]",[3906],23.7546522131888
"[1514, 4676]",[4771],23.7447207488917
"[1462, 2812, 3906]",[584],23.623293140621254
"[584, 1462, 3906]",[1463],23.599333333333334
"[1130, 1514]","[1537, 4771]",23.560574125328227
"[1462, 2812]","[830, 1018]",23.50029247367737
"[1514, 3324]","[1537, 4771]",23.498970337174562
"[875, 1537]","[1514, 4771]",23.34370366323807
"[1130, 4771]","[1514, 1537]",23.325104947921243
[1563],[1443],23.18145968452238
[1443],[1563],23.18145968452238
"[2413, 2414]",[2845],23.147392632426104
"[722, 1721]",[911],23.130894282456424
"[722, 2413]",[911],23.113046370201445
"[1003, 1537]",[1135],22.908155155065014
"[1537, 3324, 4771]",[1514],22.80900523017969
"[2753, 4059]",[2851],22.797605836986072
"[660, 2812]","[830, 1018]",22.689720888355343
"[2452, 2812]","[830, 1018]",22.669646565021356
"[1018, 4817]",[3906],22.634655906129925
"[1003, 1130]",[1135],22.460097189069153
"[830, 2452, 2812]",[1018],22.44873508353222
"[1135, 1764]",[1003],22.411577206947687
"[830, 1462, 2812]",[1018],22.39001999612978
"[780, 822]",[823],22.388901035140975
"[1463, 3906]",[584],22.36794906068486
"[1003, 1514]",[1135],22.341886151231947
"[1537, 1764]","[1514, 4771]",22.272530658714246
"[2218, 2851]",[954],22.21421188630491
"[584, 830, 1462]",[2812],22.19825974025974
"[1764, 4771]","[1514, 1537]",22.16148011681007
"[3324, 4771]","[1514, 1537]",22.137241795245515
[1830],[1615],22.039296350774702
"[543, 830]","[1018, 2812]",22.02624525351798
"[722, 806]",[911],22.012425114477566
