A,B,confidence
[175],"[897, 730, 1141, 4118]",0.1294820717131474 0.16135458167330677 0.14143426294820718 0.14342629482071714
[184],"[850, 3451]",0.125 0.10204081632653061
[364],[910],0.19775280898876405
[482],"[1058, 2851, 869, 806, 485, 2218, 911, 1977, 954, 2845]",0.11142256482130343 0.1324456902592852 0.11282410651716888 0.13875262789067974 0.17379117028731605 0.16327960756832516 0.13034337771548704 0.1212333566923616 0.13945339873861246 0.10932025227750525
"[482, 911]",[722],0.3763440860215054
"[482, 1058]",[2218],0.45226130653266333
[485],"[482, 1058, 2851, 869, 806, 2218, 911, 3217, 1977, 730, 1086]",0.14076655052264808 0.12961672473867597 0.1059233449477352 0.17700348432055749 0.10731707317073172 0.1142857142857143 0.10940766550522647 0.16236933797909406 0.10940766550522647 0.14076655052264808 0.12195121951219513
"[485, 911]",[722],0.3709677419354838
[521],"[1443, 1190, 648, 1266, 1563]",0.17944535073409462 0.18760195758564438 0.18107667210440456 0.19249592169657423 0.13213703099510604
[524],"[1190, 584, 648, 1266, 660, 1462, 2840, 1018]",0.11607142857142856 0.1211734693877551 0.1096938775510204 0.3137755102040816 0.12372448979591837 0.15816326530612246 0.11479591836734693 0.125
[543],"[584, 2452, 1462, 1018, 2812, 830]",0.16346153846153844 0.15209790209790208 0.12893356643356643 0.10402097902097901 0.1381118881118881 0.16389860139860138
[562],[2795],0.1349206349206349
[566],"[184, 850]",0.16381418092909536 0.1687041564792176
[584],"[3906, 4817, 850, 817, 2452, 1462, 1463, 1018, 2812, 830, 543]",0.39441624365482236 0.14771573604060914 0.1446700507614213 0.2512690355329949 0.1862944162436548 0.11015228426395939 0.17614213197969542 0.15786802030456853 0.12081218274111676 0.11928934010152284 0.16852791878172588 0.10152284263959391 0.10964467005076142 0.10152284263959391 0.1279187817258883 0.11421319796954314
"[543, 584]","[2452, 1462, 1018, 2812, 830]",0.3025210084033614 0.5336134453781513 0.36554621848739494 0.2899159663865546 0.4327731092436975 0.27310924369747897
"[584, 660]","[2812, 1462]",0.47513812154696133 0.580110497237569
"[584, 817]","[850, 1462, 1463, 1018, 2812]",0.3279742765273312 0.28938906752411575 0.2572347266881029 0.5048231511254019 0.22829581993569134
"[584, 830]","[2452, 1462, 1018, 2812, 543]",0.31063829787234043 0.6127659574468086 0.3063829787234043 0.5744680851063829 0.5957446808510638 0.3872340425531915 0.35744680851063826 0.4170212765957447 0.2765957446808511
"[584, 830, 1018, 1462]",[2812],0.7738095238095238
"[584, 830, 1462]","[1018, 2812]",0.65 0.6 0.4642857142857143
"[584, 830, 1462, 2812]",[1018],0.7142857142857143
"[584, 850]","[3906, 817, 1462, 1018, 2812]",0.4947368421052632 0.31228070175438594 0.26666666666666666 0.3157894736842105 0.2456140350877193
"[584, 861]",[1462],0.6346153846153846
"[584, 1018]","[3906, 817, 850, 2452, 1462, 1463, 2812, 830, 543]",0.3678474114441417 0.5885558583106267 0.20708446866485017 0.2615803814713897 0.2370572207084469 0.21798365122615804 0.6130790190735695 0.2561307901907357 0.19346049046321528 0.22888283378746593 0.2016348773841962 0.3760217983651226 0.2670299727520436 0.1771117166212534 0.1880108991825613 0.1771117166212534
"[584, 830, 1018]","[2812, 1462]",0.6222222222222222 0.725925925925926 0.4814814814814815
"[584, 1018, 1462]","[2452, 3906, 2812, 830]",0.38888888888888884 0.34259259259259256 0.6388888888888888 0.30092592592592593 0.30092592592592593
"[584, 1018, 2452]","[2812, 1462]",0.6914893617021277 0.7340425531914894
"[584, 1018, 2812]","[830, 2452, 1462]",0.6133333333333333 0.4355555555555556 0.30666666666666664 0.2888888888888889
"[584, 830, 1018, 2812]",[1462],0.6632653061224489
"[584, 1018, 1462, 2812]",[830],0.4710144927536232
"[584, 1190]",[1462],0.4733333333333334
"[584, 1266]",[1462],0.5434782608695652
"[584, 1403]",[1462],0.5701754385964912
"[584, 1462]","[3906, 4817, 850, 817, 660, 2452, 1463, 1018, 3451, 2812, 830, 543]",0.18146718146718147 0.25740025740025735 0.17503217503217502 0.16344916344916344 0.13513513513513511 0.277992277992278 0.25740025740025735 0.20205920205920203 0.18018018018018017 0.3243243243243243 0.11325611325611326 0.1969111969111969 0.11711711711711711 0.1081081081081081 0.10553410553410554 0.17760617760617758
"[543, 584, 1462]",[2812],0.5118110236220472
"[584, 1462, 1463]","[3906, 2812]",0.35000000000000003 0.35500000000000004
"[584, 1463]","[3906, 817, 2452, 1462, 1018, 2812]",0.5763688760806917 0.3256484149855908 0.23054755043227668 0.2824207492795389 0.23054755043227668 0.1873198847262248 0.2017291066282421 0.20461095100864554
"[584, 2452]","[3906, 1462, 1463, 1018, 2812, 830, 543]",0.2508591065292096 0.274914089347079 0.23711340206185566 0.44673539518900346 0.22336769759450173 0.5257731958762887 0.32302405498281783 0.281786941580756 0.22336769759450173 0.23711340206185566
"[584, 1462, 2452]","[1018, 2812]",0.5359477124183006 0.42483660130718953
"[584, 2452, 2812]","[1018, 1462]",0.6307692307692307 0.5307692307692308
"[584, 2812]","[3906, 817, 850, 4817, 660, 2452, 1462, 1463, 1018, 830, 543]",0.29090909090909095 0.17373737373737375 0.20606060606060608 0.1797979797979798 0.2282828282828283 0.2080808080808081 0.509090909090909 0.2080808080808081 0.26262626262626265 0.13333333333333336 0.4545454545454546 0.18383838383838386 0.14343434343434344 0.16565656565656567 0.13131313131313133 0.14545454545454548 0.2787878787878788 0.197979797979798 0.1393939393939394 0.13131313131313133
"[543, 584, 2812]",[1462],0.6310679611650486
