,APP_USER_SN,count_province,total_booking
0,,37,36658
1,116371.0,5,37
2,149117.0,5,21
3,41086.0,4,6
4,42154.0,4,90
5,49013.0,4,70
6,104527.0,4,4
7,114563.0,4,28
8,139910.0,4,17
9,143156.0,4,51
10,153549.0,4,8
11,166606.0,4,21
12,168011.0,4,11
13,174773.0,4,80
14,178961.0,4,13
15,181610.0,4,8
16,193508.0,4,8
17,194360.0,4,25
18,231854.0,4,7
19,235971.0,4,13
20,298512.0,4,33
21,314737.0,4,23
22,322635.0,4,11
23,324849.0,4,45
24,345498.0,4,60
25,383756.0,4,9
26,390872.0,4,5
27,416339.0,4,28
28,426822.0,4,14
29,433785.0,4,12
30,440205.0,4,4
31,457731.0,4,10
32,469309.0,4,7
33,486308.0,4,10
34,523739.0,4,6
35,524251.0,4,15
36,558031.0,4,6
37,570640.0,4,10
38,111.0,3,24
39,6806.0,3,6
40,9081.0,3,11
41,9667.0,3,7
42,10456.0,3,8
43,11702.0,3,12
44,13315.0,3,9
45,14605.0,3,24
46,15339.0,3,54
47,15417.0,3,37
48,16946.0,3,22
49,17948.0,3,18
50,18313.0,3,12
51,21220.0,3,15
52,21763.0,3,16
53,23512.0,3,7
54,24579.0,3,7
55,24847.0,3,17
56,25209.0,3,13
57,27378.0,3,18
58,27547.0,3,126
59,28194.0,3,8
60,28753.0,3,12
61,29955.0,3,23
62,30868.0,3,10
63,31457.0,3,38
64,32702.0,3,159
65,33103.0,3,6
66,33250.0,3,49
67,34206.0,3,10
68,35061.0,3,5
69,35075.0,3,7
70,36661.0,3,17
71,36703.0,3,42
72,37734.0,3,7
73,40695.0,3,5
74,43551.0,3,46
75,44505.0,3,29
76,45343.0,3,18
77,45523.0,3,30
78,47507.0,3,6
79,47780.0,3,5
80,51829.0,3,3
81,52272.0,3,26
82,52655.0,3,30
83,69353.0,3,55
84,69436.0,3,20
85,71424.0,3,8
86,71617.0,3,4
87,71922.0,3,10
88,72854.0,3,9
89,73076.0,3,7
90,80246.0,3,39
91,86428.0,3,22
92,86647.0,3,5
93,86664.0,3,6
94,88395.0,3,4
95,90212.0,3,17
96,91075.0,3,10
97,91834.0,3,23
98,93626.0,3,3
99,96077.0,3,11
100,96263.0,3,105
101,96411.0,3,8
102,98898.0,3,30
103,104592.0,3,6
104,110448.0,3,37
105,110738.0,3,9
106,111307.0,3,13
107,111830.0,3,18
108,112383.0,3,19
109,112718.0,3,11
110,112782.0,3,16
111,116077.0,3,14
112,116210.0,3,13
113,117656.0,3,4
114,117835.0,3,27
115,120543.0,3,138
116,120944.0,3,54
117,123892.0,3,4
118,126947.0,3,13
119,129948.0,3,5
120,130057.0,3,30
121,130306.0,3,5
122,134583.0,3,13
123,140807.0,3,22
124,140974.0,3,14
125,141330.0,3,11
126,141787.0,3,54
127,143463.0,3,39
128,145593.0,3,4
129,146276.0,3,13
130,146293.0,3,35
131,146867.0,3,22
132,147557.0,3,11
133,147745.0,3,3
134,147887.0,3,10
135,148091.0,3,7
136,148914.0,3,7
137,149171.0,3,3
138,149722.0,3,20
139,150773.0,3,8
140,152093.0,3,3
141,153037.0,3,8
142,154776.0,3,5
143,157582.0,3,5
144,157792.0,3,9
145,158372.0,3,6
146,159078.0,3,5
147,159644.0,3,7
148,163310.0,3,14
149,164384.0,3,4
150,165617.0,3,14
151,167854.0,3,38
152,168306.0,3,24
153,168899.0,3,19
154,169793.0,3,12
155,171860.0,3,5
156,171955.0,3,12
157,172454.0,3,23
158,172840.0,3,16
159,173070.0,3,36
160,173329.0,3,82
161,174394.0,3,16
162,176249.0,3,12
163,176351.0,3,57
164,176608.0,3,14
165,177051.0,3,8
166,179047.0,3,6
167,179682.0,3,4
168,180505.0,3,29
169,180735.0,3,7
170,181470.0,3,39
171,181612.0,3,16
172,183554.0,3,3
173,184745.0,3,3
174,186125.0,3,21
175,187669.0,3,30
176,188394.0,3,16
177,188405.0,3,25
178,189560.0,3,3
179,189610.0,3,13
180,189808.0,3,13
181,190452.0,3,4
182,190784.0,3,9
183,191628.0,3,38
184,191923.0,3,9
185,193785.0,3,5
186,193895.0,3,83
187,194214.0,3,16
188,195027.0,3,7
189,195356.0,3,35
190,197119.0,3,16
191,198472.0,3,13
192,198559.0,3,11
193,201328.0,3,10
194,201383.0,3,3
195,206756.0,3,3
196,208033.0,3,20
197,212609.0,3,12
198,214367.0,3,26
199,215042.0,3,19
200,215128.0,3,4
201,216286.0,3,18
202,217151.0,3,15
203,218394.0,3,7
204,218520.0,3,7
205,221120.0,3,5
206,221256.0,3,3
207,223337.0,3,4
208,224313.0,3,30
209,224374.0,3,12
210,224956.0,3,11
211,227754.0,3,7
212,242712.0,3,16
213,244882.0,3,20
214,252979.0,3,9
215,259350.0,3,7
